,en,pt,pt_BR,de,zh,fr
PLAY,PLAY,JOGAR,JOGAR,SPIELEN,玩,JOUER
SETTINGS,SETTINGS,CONFIGURAÇÕES,CONFIGURAÇÕES,EINSTELLUNGEN,设置,PARAMÈTRES
QUIT,QUIT,DESISTIR,DESISTIR,AUFHÖREN,辞职,QUITTER
BACK,BACK,VOLTAR,VOLTAR,ZURÜCK,后退,DOS
CLOSED ALPHA,CLOSED ALPHA,ALFA FECHADO,ALFA FECHADO,GESCHLOSSENES ALPHA,封闭式 Alpha 测试,ALPHA FERMÉ
"CREATE BY PATOLIZO, 2025","CREATE BY PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","ERSTELLT VON PATOLIZO, 2025",由 PATOLIZO 创作，2025 年,"CRÉÉ PAR PATOLIZO, 2025"
SAVES MANAGER,SAVES MANAGER,GERENTE DE ECONOMIA,GERENTE DE ECONOMIA,SAVES MANAGER,保存经理,GESTIONNAIRE DE SAUVEGARDES
SAVES,SAVES,ECONOMIZA,ECONOMIZA,SPART,保存,ÉCONOMIES
DELETE SAVE,DELETE SAVE,EXCLUIR SALVAR,EXCLUIR SALVAR,LÖSCHEN SPEICHERN,删除 保存,SUPPRIMER ENREGISTRER
CREATE SAVE,CREATE SAVE,CRIAR SALVAR,CRIAR SALVAR,ERSTELLEN SPEICHERN,创建保存,CRÉER ENREGISTRER
SAVE CREATOR,SAVE CREATOR,SALVAR CRIADOR,SALVAR CRIADOR,SPEICHERN DES ERSTELLERS,保存创建者,ENREGISTRER LE CRÉATEUR
NAME,NAME,NOME,NOME,NAME,姓名,NOM
SEED,SEED,SEMENTE,SEMENTE,SAMEN,种子,GRAINE
MAP SIZE,MAP SIZE,TAMANHO DO MAPA,TAMANHO DO MAPA,KARTENGRÖSSE,地图大小,TAILLE DE LA CARTE
DIFFICULTY,DIFFICULTY,DIFICULDADE,DIFICULDADE,SCHWIERIGKEIT,困难,DIFFICULTÉ
CREATE,CREATE,CRIAR,CRIAR,ERSTELLEN,创造,CRÉER
RANDOMIZE,RANDOMIZE,ALEATÓRIO,ALEATÓRIO,ZUFÄLLIG MACHEN,随机化,RANDOMISER
CANCEL,CANCEL,CANCELAR,CANCELAR,STORNIEREN,取消,ANNULER
SMALL,SMALL,PEQUENO,PEQUENO,KLEIN,小的,PETIT
NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,普通的,NORMALE
LARGE,LARGE,GRANDE,GRANDE,GROSS,大的,GRAND
EASY,EASY,FÁCIL,FÁCIL,EINFACH,简单的,FACILE
MEDIUM,MEDIUM,MÉDIO,MÉDIO,MEDIUM,中等的,MOYEN
HARD,HARD,DURO,DURO,HART,难的,DUR
HARDCORE,HARDCORE,HARDCORE,HARDCORE,HARDCORE,硬核,HARDCORE
"This game is not a copy of minecraft, terraria is not a copy of minecraft.","This game is not a copy of minecraft, terraria is not a copy of minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Dieses Spiel ist keine Kopie von Minecraft, Terraria ist keine Kopie von Minecraft.",这个游戏不是我的世界的复制品，Terraria 也不是我的世界的复制品。,"Ce jeu n'est pas une copie de Minecraft, Terraria n'est pas une copie de Minecraft."
Progress is the friends we make along the way.,Progress is the friends we make along the way.,O progresso são os amigos que fazemos ao longo do caminho.,O progresso são os amigos que fazemos ao longo do caminho.,"Fortschritt sind die Freunde, die wir auf unserem Weg finden.",进步是我们一路上结交的朋友。,"Le progrès, ce sont les amis que l’on se fait en chemin."
Don't put off until today what you can do tomorrow.,Don't put off until today what you can do tomorrow.,Não deixe para hoje o que você pode fazer amanhã.,Não deixe para hoje o que você pode fazer amanhã.,"Verschieben Sie nicht auf heute, was Sie morgen tun können.",不要把明天能做的事情拖到今天。,Ne remettez pas à aujourd’hui ce que vous pouvez faire demain.
