,en,pt-PT,pt-BR,es,de,zh,fr,ru
PLAY,PLAY,JOGAR,JOGAR,JUGAR,SPIELEN,玩,JOUER,ИГРАТЬ
SETTINGS,SETTINGS,CONFIGURAÇÕES,CONFIGURAÇÕES,AJUSTES,EINSTELLUNGEN,设置,PARAMÈTRES,НАСТРОЙКИ
QUIT,QUIT,DESISTIR,DESISTIR,ABANDONAR,AUFHÖREN,辞职,QUITTER,ПОКИДАТЬ
BACK,BACK,VOLTAR,VOLTAR,ATRÁS,ZURÜCK,后退,DOS,НАЗАД
CLOSED ALPHA,CLOSED ALPHA,ALFA FECHADO,ALFA FECHADO,ALFA CERRADA,GESCHLOSSENES ALPHA,封闭式 Alpha 测试,ALPHA FERMÉ,ЗАКРЫТАЯ АЛЬФА
"CREATE BY PATOLIZO, 2025","CREATE BY PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","CREADO POR PATOLIZO, 2025","ERSTELLT VON PATOLIZO, 2025",由 PATOLIZO 创作，2025 年,"CRÉÉ PAR PATOLIZO, 2025","СОЗДАНО PATOLIZO, 2025"
SAVES MANAGER,SAVES MANAGER,GERENTE DE ECONOMIA,GERENTE DE ECONOMIA,ADMINISTRADOR DE GUARDADOS,SAVES MANAGER,保存经理,GESTIONNAIRE DE SAUVEGARDES,МЕНЕДЖЕР ПО СОХРАНЕНИЯМ
SAVES,SAVES,ECONOMIZA,ECONOMIZA,AHORROS,SPART,保存,ÉCONOMIES,СОХРАНЯЕТ
DELETE SAVE,DELETE SAVE,EXCLUIR SALVAR,EXCLUIR SALVAR,ELIMINAR GUARDAR,LÖSCHEN SPEICHERN,删除 保存,SUPPRIMER ENREGISTRER,УДАЛИТЬ СОХРАНИТЬ
CREATE SAVE,CREATE SAVE,CRIAR SALVAR,CRIAR SALVAR,CREAR GUARDAR,ERSTELLEN SPEICHERN,创建保存,CRÉER ENREGISTRER,СОЗДАТЬ СОХРАНИТЬ
SAVE CREATOR,SAVE CREATOR,SALVAR CRIADOR,SALVAR CRIADOR,GUARDAR CREADOR,ERSTELLER SPEICHERN,保存创建者,ENREGISTRER LE CRÉATEUR,СОХРАНИТЬ СОЗДАТЕЛЯ
NAME,NAME,NOME,NOME,NOMBRE,NAME,姓名,NOM,ИМЯ
SEED,SEED,SEMENTE,SEMENTE,SEMILLA,SAMEN,种子,GRAINE,СЕМЯ
MAP SIZE,MAP SIZE,TAMANHO DO MAPA,TAMANHO DO MAPA,TAMAÑO DEL MAPA,KARTENGRÖSSE,地图大小,TAILLE DE LA CARTE,РАЗМЕР КАРТЫ
DIFFICULTY,DIFFICULTY,DIFICULDADE,DIFICULDADE,DIFICULTAD,SCHWIERIGKEIT,困难,DIFFICULTÉ,СЛОЖНОСТЬ
CREATE,CREATE,CRIAR,CRIAR,CREAR,ERSTELLEN,创造,CRÉER,СОЗДАВАТЬ
RANDOMIZE,RANDOMIZE,ALEATÓRIO,ALEATÓRIO,ALEATORIZAR,ZUFÄLLIG MACHEN,随机化,RANDOMISER,РАНДОМИЗИРОВАТЬ
CANCEL,CANCEL,CANCELAR,CANCELAR,CANCELAR,STORNIEREN,取消,ANNULER,ОТМЕНА
SMALL,SMALL,PEQUENO,PEQUENO,PEQUEÑO,KLEIN,小的,PETIT,МАЛЕНЬКИЙ
NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,普通的,NORMALE,НОРМАЛЬНЫЙ
LARGE,LARGE,GRANDE,GRANDE,GRANDE,GROSS,大的,GRAND,БОЛЬШОЙ
EASY,EASY,FÁCIL,FÁCIL,FÁCIL,EINFACH,简单的,FACILE,ЛЕГКИЙ
MEDIUM,MEDIUM,MÉDIO,MÉDIO,MEDIO,MEDIUM,中等的,MOYEN,СЕРЕДИНА
HARD,HARD,DURO,DURO,DURO,HART,难的,DUR,ЖЕСТКИЙ
HARDCORE,HARDCORE,HARDCORE,HARDCORE,DURO,HARDCORE,硬核,HARDCORE,ХАРДКОР
"This game is not a copy of minecraft, terraria is not a copy of minecraft.","This game is not a copy of minecraft, terraria is not a copy of minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Este juego no es una copia de Minecraft, Terraria no es una copia de Minecraft.","Dieses Spiel ist keine Kopie von Minecraft, Terraria ist keine Kopie von Minecraft.",这个游戏不是我的世界的复制品，Terraria 也不是我的世界的复制品。,"Ce jeu n'est pas une copie de Minecraft, Terraria n'est pas une copie de Minecraft.","Эта игра не является копией майнкрафта, террария не является копией майнкрафта."
Progress is the friends we make along the way.,Progress is the friends we make along the way.,O progresso são os amigos que fazemos ao longo do caminho.,O progresso são os amigos que fazemos ao longo do caminho.,El progreso son los amigos que hacemos a lo largo del camino.,"Fortschritt sind die Freunde, die wir auf unserem Weg finden.",进步是我们一路上结交的朋友。,"Le progrès, ce sont les amis que l’on se fait en chemin.","Прогресс — это друзья, которых мы обретаем на своем пути."
Don't put off until today what you can do tomorrow.,Don't put off until today what you can do tomorrow.,Não deixe para hoje o que você pode fazer amanhã.,Não deixe para hoje o que você pode fazer amanhã.,No dejes para hoy lo que puedas hacer mañana.,"Verschieben Sie nicht auf heute, was Sie morgen tun können.",不要把明天能做的事情拖到今天。,Ne remettez pas à aujourd’hui ce que vous pouvez faire demain.,"Не откладывайте на сегодня то, что можно сделать завтра."
You probably haven't discovered all the secrets of this game yet.,You probably haven't discovered all the secrets of this game yet.,Você provavelmente ainda não descobriu todos os segredos deste jogo.,Você provavelmente ainda não descobriu todos os segredos deste jogo.,Probablemente aún no hayas descubierto todos los secretos de este juego.,Wahrscheinlich haben Sie noch nicht alle Geheimnisse dieses Spiels entdeckt.,您可能还没有发现这个游戏的所有秘密。,Vous n’avez probablement pas encore découvert tous les secrets de ce jeu.,"Вероятно, вы еще не раскрыли все секреты этой игры."
"Reading is important...books are for reading...someone may have written useful things out there, right?","Reading is important...books are for reading...someone may have written useful things out there, right?","Ler é importante... livros são para ler... alguém pode ter escrito coisas úteis por aí, certo?","Ler é importante... livros são para ler... alguém pode ter escrito coisas úteis por aí, certo?","Leer es importante... los libros son para leer... alguien puede haber escrito cosas útiles por ahí, ¿verdad?","Lesen ist wichtig ... Bücher sind zum Lesen da ... da draußen hat vielleicht jemand nützliche Dinge geschrieben, oder?",阅读很重要...书是用来阅读的...有人可能写了一些有用的东西，对吧？,"La lecture est importante... les livres sont faits pour être lus... quelqu'un a peut-être écrit des choses utiles, n'est-ce pas ?","Чтение важно...книги созданы для чтения...может быть, кто-то уже написал что-то полезное, верно?"
"Sleep, eat and hydrate so you don't get sick on your adventures.","Sleep, eat and hydrate so you don't get sick on your adventures.","Durma, coma e hidrate-se para não ficar doente em suas aventuras.","Durma, coma e hidrate-se para não ficar doente em suas aventuras.","Duerme, come e hidrátate para no enfermarte en tus aventuras.","Schlafen, essen und trinken Sie genug, damit Ihnen bei Ihren Abenteuern nicht schlecht wird.",睡觉、吃饭、补充水分，这样你在冒险途中就不会生病。,"Dormez, mangez et hydratez-vous pour ne pas tomber malade pendant vos aventures.","Спите, ешьте и пейте много жидкости, чтобы не заболеть во время приключений."
This game was made by a random guy looking for a game that gives freedom to the player.,This game was made by a random guy looking for a game that gives freedom to the player.,Este jogo foi feito por um cara aleatório que procurava um jogo que desse liberdade ao jogador.,Este jogo foi feito por um cara aleatório que procurava um jogo que desse liberdade ao jogador.,Este juego fue creado por un tipo cualquiera que buscaba un juego que le diera libertad al jugador.,"Dieses Spiel wurde von einem zufälligen Typen entwickelt, der nach einem Spiel suchte, das dem Spieler Freiheit lässt.",这个游戏是由一个随机的人制作的，他正在寻找一款可以给予玩家自由的游戏。,Ce jeu a été créé par un gars au hasard à la recherche d'un jeu qui donne la liberté au joueur.,"Эту игру создал случайный парень, который искал игру, дающую игроку свободу."
Video,Video,Vídeo,Vídeo,Video,Video,视频,Vidéo,Видео
WINDOW,WINDOW,JANELA,JANELA,VENTANA,FENSTER,窗户,FENÊTRE,ОКНО
WINDOW MODE,WINDOW MODE,MODO JANELA,MODO JANELA,MODO VENTANA,FENSTERMODUS,窗口模式,MODE FENÊTRE,ОКОННЫЙ РЕЖИМ
FRAME RATE,FRAME RATE,TAXA DE QUADROS,TAXA DE QUADROS,FOTOGRAMAS POR SEGUNDO,BILDRATE,帧率,FRÉQUENCE D'IMAGE,ЧАСТОТА КАДРОВ
V-SYNC,V-SYNC,V-SYNC,V-SYNC,V-SYNC,V-SYNC,垂直同步,Synchronisation verticale,V-SYNC
FSR,FSR,FSR,FSR,FSR,FSR,频带宽度,FSR,ФСР
