,en,pt,pt_BR,de,zh,fr,ru
PLAY,PLAY,JOGAR,JOGAR,SPIELEN,玩,JOUER,ИГРАТЬ
SETTINGS,SETTINGS,CONFIGURAÇÕES,CONFIGURAÇÕES,EINSTELLUNGEN,设置,PARAMÈTRES,НАСТРОЙКИ
QUIT,QUIT,DESISTIR,DESISTIR,AUFHÖREN,辞职,QUITTER,ПОКИДАТЬ
BACK,BACK,VOLTAR,VOLTAR,ZURÜCK,后退,DOS,НАЗАД
CLOSED ALPHA,CLOSED ALPHA,ALFA FECHADO,ALFA FECHADO,GESCHLOSSENES ALPHA,封闭式 Alpha 测试,ALPHA FERMÉ,ЗАКРЫТАЯ АЛЬФА
"CREATE BY PATOLIZO, 2025","CREATE BY PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","CRIADO POR PATOLIZO, 2025","ERSTELLT VON PATOLIZO, 2025",由 PATOLIZO 创作，2025 年,"CRÉÉ PAR PATOLIZO, 2025","СОЗДАНО PATOLIZO, 2025"
SAVES MANAGER,SAVES MANAGER,GERENTE DE ECONOMIA,GERENTE DE ECONOMIA,SAVES MANAGER,保存经理,GESTIONNAIRE DE SAUVEGARDES,МЕНЕДЖЕР ПО СОХРАНЕНИЯМ
SAVES,SAVES,ECONOMIZA,ECONOMIZA,SPART,保存,ÉCONOMIES,СОХРАНЯЕТ
DELETE SAVE,DELETE SAVE,EXCLUIR SALVAR,EXCLUIR SALVAR,LÖSCHEN SPEICHERN,删除 保存,SUPPRIMER ENREGISTRER,УДАЛИТЬ СОХРАНИТЬ
CREATE SAVE,CREATE SAVE,CRIAR SALVAR,CRIAR SALVAR,ERSTELLEN SPEICHERN,创建保存,CRÉER ENREGISTRER,СОЗДАТЬ СОХРАНИТЬ
SAVE CREATOR,SAVE CREATOR,SALVAR CRIADOR,SALVAR CRIADOR,SPEICHERN DES ERSTELLERS,保存创建者,ENREGISTRER LE CRÉATEUR,СОХРАНИТЬ СОЗДАТЕЛЯ
NAME,NAME,NOME,NOME,NAME,姓名,NOM,ИМЯ
SEED,SEED,SEMENTE,SEMENTE,SAMEN,种子,GRAINE,СЕМЯ
MAP SIZE,MAP SIZE,TAMANHO DO MAPA,TAMANHO DO MAPA,KARTENGRÖSSE,地图大小,TAILLE DE LA CARTE,РАЗМЕР КАРТЫ
DIFFICULTY,DIFFICULTY,DIFICULDADE,DIFICULDADE,SCHWIERIGKEIT,困难,DIFFICULTÉ,СЛОЖНОСТЬ
CREATE,CREATE,CRIAR,CRIAR,ERSTELLEN,创造,CRÉER,СОЗДАВАТЬ
RANDOMIZE,RANDOMIZE,ALEATÓRIO,ALEATÓRIO,ZUFÄLLIG MACHEN,随机化,RANDOMISER,РАНДОМИЗИРОВАТЬ
CANCEL,CANCEL,CANCELAR,CANCELAR,STORNIEREN,取消,ANNULER,ОТМЕНА
SMALL,SMALL,PEQUENO,PEQUENO,KLEIN,小的,PETIT,МАЛЕНЬКИЙ
NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,普通的,NORMALE,НОРМАЛЬНЫЙ
LARGE,LARGE,GRANDE,GRANDE,GROSS,大的,GRAND,БОЛЬШОЙ
EASY,EASY,FÁCIL,FÁCIL,EINFACH,简单的,FACILE,ЛЕГКИЙ
MEDIUM,MEDIUM,MÉDIO,MÉDIO,MEDIUM,中等的,MOYEN,СЕРЕДИНА
HARD,HARD,DURO,DURO,HART,难的,DUR,ЖЕСТКИЙ
HARDCORE,HARDCORE,HARDCORE,HARDCORE,HARDCORE,硬核,HARDCORE,ХАРДКОР
"This game is not a copy of minecraft, terraria is not a copy of minecraft.","This game is not a copy of minecraft, terraria is not a copy of minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Este jogo não é uma cópia do Minecraft, Terraria não é uma cópia do Minecraft.","Dieses Spiel ist keine Kopie von Minecraft, Terraria ist keine Kopie von Minecraft.",这个游戏不是我的世界的复制品，Terraria 也不是我的世界的复制品。,"Ce jeu n'est pas une copie de Minecraft, Terraria n'est pas une copie de Minecraft.","Эта игра не является копией майнкрафта, террария не является копией майнкрафта."
Progress is the friends we make along the way.,Progress is the friends we make along the way.,O progresso são os amigos que fazemos ao longo do caminho.,O progresso são os amigos que fazemos ao longo do caminho.,"Fortschritt sind die Freunde, die wir auf unserem Weg finden.",进步是我们一路上结交的朋友。,"Le progrès, ce sont les amis que l’on se fait en chemin.","Прогресс — это друзья, которых мы обретаем на своем пути."
Don't put off until today what you can do tomorrow.,Don't put off until today what you can do tomorrow.,Não deixe para hoje o que você pode fazer amanhã.,Não deixe para hoje o que você pode fazer amanhã.,"Verschieben Sie nicht auf heute, was Sie morgen tun können.",不要把明天能做的事情拖到今天。,Ne remettez pas à aujourd’hui ce que vous pouvez faire demain.,"Не откладывайте на сегодня то, что можно сделать завтра."
You probably haven't discovered all the secrets of this game yet.,You probably haven't discovered all the secrets of this game yet.,Você provavelmente ainda não descobriu todos os segredos deste jogo.,Você provavelmente ainda não descobriu todos os segredos deste jogo.,Wahrscheinlich haben Sie noch nicht alle Geheimnisse dieses Spiels entdeckt.,您可能还没有发现这个游戏的所有秘密。,Vous n’avez probablement pas encore découvert tous les secrets de ce jeu.,"Вероятно, вы еще не раскрыли все секреты этой игры."
"Reading is important...books are for reading...someone may have written useful things out there, right?","Reading is important...books are for reading...someone may have written useful things out there, right?","Ler é importante... livros são para ler... alguém pode ter escrito coisas úteis por aí, certo?","Ler é importante... livros são para ler... alguém pode ter escrito coisas úteis por aí, certo?","Lesen ist wichtig ... Bücher sind zum Lesen da ... da draußen hat vielleicht jemand nützliche Dinge geschrieben, oder?",阅读很重要...书是用来阅读的...有人可能写了一些有用的东西，对吧？,"La lecture est importante... les livres sont faits pour être lus... quelqu'un a peut-être écrit des choses utiles, n'est-ce pas ?","Чтение важно...книги созданы для чтения...может быть, кто-то уже написал что-то полезное, верно?"
